Lease_Number,Production_Date,Product_Code,Mon_Oil_Volume,Mon_Gas_Volume,Operator_Number
16,1/1/2019,O,0,0,3151
16,1/1/2019,G,0,50,3151
16,1/1/2019,O,304,0,3151
16,1/1/2019,U,0,0,3151
16,1/1/2019,O,335,206,3151
16,1/1/2019,O,1340,1307,3151
16,1/1/2019,O,1902,739,3151
16,1/1/2019,O,10,2,3151
16,1/1/2019,G,0,0,3151
16,1/1/2019,O,1020,2265,3151
16,1/1/2019,O,1593,3594,3151
16,1/1/2019,O,2338,2272,3151
18,1/1/2019,O,155,3416,3151
19,1/1/2019,U,0,0,2375
19,1/1/2019,G,0,4529,3151
19,1/1/2019,G,955,247,3151
19,1/1/2019,O,1350,311,3151
19,1/1/2019,G,0,0,3151
19,1/1/2019,O,784,225,3151
19,1/1/2019,O,2018,1084,3151
19,1/1/2019,O,0,0,3151
19,1/1/2019,O,6273,324169,3151
19,1/1/2019,O,3373,1648,3151
19,1/1/2019,O,935,1075,3151
19,1/1/2019,O,4374,279,3151
20,1/1/2019,O,30848,58603,3295
20,1/1/2019,U,0,0,3151
20,1/1/2019,O,0,0,3151
20,1/1/2019,O,2818,5754,3151
20,1/1/2019,O,2221,3276,3151
20,1/1/2019,O,926,3721,3151
20,1/1/2019,O,5760,11099,3151
20,1/1/2019,G,0,0,3151
20,1/1/2019,O,827,3027,3151
20,1/1/2019,O,1939,430,3151
20,1/1/2019,O,621,4215,3151
20,1/1/2019,G,1517,6099,3151
20,1/1/2019,G,712,138,3151
20,1/1/2019,O,1363,1137,3151
20,1/1/2019,O,12476,18608,3151
20,1/1/2019,O,1096,8544,3151
26,1/1/2019,U,0,0,3151
26,1/1/2019,O,0,0,3151
26,1/1/2019,O,1022,698,3151
26,1/1/2019,G,0,0,3151
26,1/1/2019,O,904,297,3151
26,1/1/2019,O,894,544,3151
26,1/1/2019,O,994,2013,3151
26,1/1/2019,O,1219,8595,3151
26,1/1/2019,O,257,2122,3151
26,1/1/2019,O,1282,984,3151
26,1/1/2019,O,1525,414,3151
26,1/1/2019,G,0,415,3151
26,1/1/2019,O,673,435,3151
26,1/1/2019,O,0,1844,3151
26,1/1/2019,O,252,127,3151
26,1/1/2019,O,1477,802,3151
26,1/1/2019,O,1432,769,3151
26,1/1/2019,O,1832,198,3151
26,1/1/2019,O,1205,106,3151
26,1/1/2019,O,889,142,3151
26,1/1/2019,O,1154,1133,3151
26,1/1/2019,O,352,0,3151
26,1/1/2019,O,1055,1810,3151
26,1/1/2019,O,818,370,3151
26,1/1/2019,O,2792,2372,3151
26,1/1/2019,O,3488,432,3151
26,1/1/2019,O,458,4439,3151
28,1/1/2019,U,0,0,3151
31,1/1/2019,O,0,0,3151
31,1/1/2019,O,620,1840,3151
31,1/1/2019,U,0,0,3151
31,1/1/2019,O,678,1987,3151
31,1/1/2019,O,450,774,3151
31,1/1/2019,O,1694,868,3151
31,1/1/2019,O,1020,474,3151
31,1/1/2019,G,542,2838,3151
31,1/1/2019,O,86,3261,3151
31,1/1/2019,O,745,2510,3151
31,1/1/2019,O,513,1142,3151
31,1/1/2019,O,722,672,3151
31,1/1/2019,O,617,753,3151
31,1/1/2019,O,538,2453,3151
31,1/1/2019,O,289,597,3151
31,1/1/2019,O,1540,329,3151
31,1/1/2019,O,1051,1350,3151
31,1/1/2019,O,1055,991,3151
31,1/1/2019,O,480,1431,3151
31,1/1/2019,O,1764,4190,3151
32,1/1/2019,O,432,942,3151
34,1/1/2019,O,935,31,3151
34,1/1/2019,U,0,0,3151
34,1/1/2019,O,874,2226,3151
34,1/1/2019,O,895,6840,3151
34,1/1/2019,O,99,444,3151
34,1/1/2019,O,140,3728,3151
34,1/1/2019,O,339,0,3151
34,1/1/2019,O,147,0,3151
34,1/1/2019,O,0,0,3151
34,1/1/2019,O,92,4072,3151
34,1/1/2019,O,223,617,3151
34,1/1/2019,O,464,847,3151
34,1/1/2019,O,2408,2491,3151
49,1/1/2019,O,6542,2094,3295
49,1/1/2019,O,0,0,3295
49,1/1/2019,O,1456,439,3295
49,1/1/2019,U,0,0,3295
49,1/1/2019,O,959,739,3295
49,1/1/2019,G,1710,1575,3295
49,1/1/2019,O,265,1724,3295
49,1/1/2019,O,1191,2843,3295
49,1/1/2019,O,915,251,3295
49,1/1/2019,O,441,2601,3295
49,1/1/2019,O,176,2072,3295
49,1/1/2019,G,0,0,3295
50,1/1/2019,G,0,0,3295
50,1/1/2019,O,684,1225,3295
50,1/1/2019,O,0,0,3295
50,1/1/2019,G,0,2276,3295
50,1/1/2019,O,1114,3017,3295
50,1/1/2019,O,527,918,3295
51,1/1/2019,O,0,0,3295
51,1/1/2019,G,0,0,3295
51,1/1/2019,U,0,0,3295
52,1/1/2019,U,0,0,3295
52,1/1/2019,G,665,14484,3295
52,1/1/2019,O,0,0,3295
57,1/1/2019,G,1440,1546,3520
57,1/1/2019,U,0,0,3520
60,1/1/2019,G,0,0,3520
60,1/1/2019,O,0,0,3520
60,1/1/2019,O,1579,1389,3520
60,1/1/2019,U,0,0,3520
60,1/1/2019,O,755,1145,3520
60,1/1/2019,O,1857,2249,3520
60,1/1/2019,G,727,4111,3520
60,1/1/2019,G,411,12217,3520
60,1/1/2019,G,270,16531,3520
60,1/1/2019,G,842,373,3520
62,1/1/2019,U,0,0,3520
63,1/1/2019,U,0,0,1834
63,1/1/2019,O,0,0,1834
63,1/1/2019,S,0,0,1834
63,1/1/2019,O,2071,8038,1834
63,1/1/2019,O,2676,3979,1834
63,1/1/2019,O,14158,7732,1834
63,1/1/2019,O,11584,12332,1834
63,1/1/2019,O,2504,3529,1834
63,1/1/2019,G,0,0,1834
64,1/1/2019,U,0,0,1834
64,1/1/2019,O,479,0,1834
64,1/1/2019,O,0,0,1834
64,1/1/2019,O,986,0,1834
65,1/1/2019,G,427,0,1834
65,1/1/2019,O,360,0,1834
66,1/1/2019,U,0,0,1834
66,1/1/2019,G,1383,0,1834
66,1/1/2019,G,1187,5761,1834
66,1/1/2019,G,0,0,1834
66,1/1/2019,G,742,6225,1834
67,1/1/2019,O,1188,0,1834
67,1/1/2019,U,0,0,1834
68,1/1/2019,U,0,0,1834
69,1/1/2019,U,0,0,1834
69,1/1/2019,G,0,0,1834
69,1/1/2019,O,1439,0,1834
69,1/1/2019,G,112,22316,1834
69,1/1/2019,O,0,0,1834
71,1/1/2019,G,0,0,3295
71,1/1/2019,O,0,0,3295
71,1/1/2019,U,0,0,3295
79,1/1/2019,U,0,0,3247
79,1/1/2019,G,0,0,3247
81,1/1/2019,G,0,0,3295
81,1/1/2019,U,0,0,3295
81,1/1/2019,G,2,50550,3295
81,1/1/2019,G,0,13781,3295
81,1/1/2019,G,0,1068,3295
82,1/1/2019,G,0,27832,3295
127,1/1/2019,G,0,0,2451
128,1/1/2019,U,0,0,2451
128,1/1/2019,O,0,0,2451
128,1/1/2019,O,1388,5079,2451
128,1/1/2019,G,64,71,2451
128,1/1/2019,O,75,187,2451
128,1/1/2019,O,2506,4615,2451
129,1/1/2019,G,0,28552,2451
129,1/1/2019,O,2763,4560,2451
129,1/1/2019,G,0,0,2451
129,1/1/2019,O,0,0,2451
129,1/1/2019,U,0,0,2451
129,1/1/2019,O,1432,1136,2451
129,1/1/2019,O,1928,9836,2451
129,1/1/2019,O,386,1033,2451
129,1/1/2019,O,791,0,2451
129,1/1/2019,O,1869,0,2451
130,1/1/2019,U,0,0,2451
130,1/1/2019,O,0,0,2451
130,1/1/2019,O,2434,3816,2451
130,1/1/2019,O,1672,0,2451
130,1/1/2019,O,333,0,2451
130,1/1/2019,O,4598,4974,2451
130,1/1/2019,O,4522,11643,2451
131,1/1/2019,U,0,0,2451
132,1/1/2019,U,0,0,2451
133,1/1/2019,O,751,393,2451
133,1/1/2019,O,0,0,2451
133,1/1/2019,U,0,0,2451
133,1/1/2019,O,490,1587,2451
133,1/1/2019,G,3348,5536,2451
133,1/1/2019,G,0,0,2451
133,1/1/2019,O,8103,2703,2451
133,1/1/2019,O,1639,951,2451
133,1/1/2019,G,6811,3643,2451
133,1/1/2019,O,643,2723,2451
